iter	RMSE
0	72182.65966
1	68080.92369
2	63830.60681
3	60395.14752
4	57214.74008
5	54424.00542
6	51758.12893
7	49348.39917
8	47059.61415
9	44996.17199
10	43130.30613
11	41387.58775
12	39978.98
13	38532.86833
14	37286.6437
15	36104.5561
16	35128.35158
17	34193.3622
18	33198.5355
19	32188.29449
20	31330.61301
21	30724.51296
22	29924.86106
23	29227.42493
24	28663.79783
25	28016.34035
26	27537.75749
27	27119.96942
28	26621.95377
29	26116.78872
30	25681.92819
31	25130.98663
32	24727.84497
33	24229.58865
34	23922.13781
35	23640.72193
36	23316.10512
37	23074.34715
38	22894.18908
39	22693.36631
40	22423.29542
41	22142.90651
42	21993.04947
43	21798.96542
44	21543.04484
45	21497.68383
46	21375.99683
47	21205.37761
48	21096.32575
49	20978.01604
50	20837.62635
51	20678.30609
52	20505.57782
53	20438.22598
54	20301.2693
55	20111.60482
56	19977.3853
57	19791.09828
58	19582.11848
59	19455.48626
60	19376.24982
61	19219.30962
62	19122.89252
63	19109.07011
64	19068.74416
65	18987.93197
66	18867.51909
67	18768.54656
68	18651.59385
69	18517.67096
70	18344.16552
71	18309.39859
72	18238.07622
73	18212.83907
74	18162.30815
75	18138.89212
76	18097.27058
77	18070.73378
78	17956.64747
79	17811.1332
80	17699.34728
81	17662.33904
82	17571.88685
83	17470.95587
84	17393.9211
85	17316.36244
86	17287.70741
87	17202.82845
88	17112.81355
89	17016.44033
90	16964.1917
91	16898.04544
92	16768.93975
93	16659.39899
94	16630.46633
95	16586.01041
96	16503.84883
97	16475.13654
98	16411.5963
99	16336.29907
100	16284.46925
101	16251.39643
102	16165.35804
103	16145.16803
104	16101.91926
105	16070.98703
106	15936.45491
107	15879.69458
108	15825.06587
109	15775.19485
110	15746.72658
111	15640.97455
112	15578.88988
113	15558.08338
114	15505.6344
115	15440.91595
116	15373.17219
117	15317.70246
118	15263.29103
119	15199.8437
120	15149.31049
121	15092.40268
122	15046.54078
123	15035.61527
124	14928.98585
125	14894.29671
126	14882.39614
127	14798.92984
128	14739.6294
129	14731.90867
130	14724.24125
131	14712.85071
132	14694.03521
133	14691.74666
134	14628.33259
135	14577.70561
136	14541.58234
137	14533.30379
138	14506.89288
139	14455.80514
140	14436.6123
141	14380.6203
142	14323.75965
143	14277.9615
144	14264.62903
145	14220.76538
146	14173.06995
147	14134.11354
148	14038.89246
149	13980.98246
150	13949.62754
151	13928.8634
152	13852.11848
153	13796.08063
154	13723.56285
155	13669.71187
156	13603.34587
157	13563.64872
158	13554.8744
159	13512.7357
160	13508.5227
161	13436.53822
162	13413.45902
163	13387.72648
164	13368.94189
165	13315.87363
166	13257.37643
167	13202.14129
168	13163.37027
169	13115.71189
170	13020.74168
171	12920.08361
172	12859.00486
173	12772.8098
174	12752.85139
175	12739.57364
176	12727.61992
177	12656.91187
178	12584.45091
179	12573.01517
180	12524.42952
181	12464.11948
182	12408.30495
183	12363.97075
184	12343.69868
185	12281.67841
186	12274.60958
187	12236.45869
188	12195.78838
189	12193.90804
190	12177.37439
191	12146.04563
192	12112.75841
193	12106.88742
194	12081.19422
195	12034.49068
196	11968.75064
197	11938.44923
198	11858.77444
199	11814.16464
200	11780.98277
201	11761.67024
202	11738.74796
203	11679.54961
204	11645.99045
205	11624.9433
206	11610.25082
207	11572.48693
208	11555.15122
209	11549.11128
210	11533.25128
211	11484.2022
212	11477.14274
213	11467.05355
214	11457.63823
215	11414.22276
216	11412.47019
217	11385.84264
218	11337.54878
219	11319.15163
220	11317.73836
221	11298.39292
222	11248.47652
223	11246.66451
224	11206.04236
225	11192.13416
226	11175.88978
227	11168.77152
228	11149.21243
229	11092.18343
230	11068.13691
231	11041.34705
232	11038.85543
233	11033.21426
234	11030.75431
235	11013.40723
236	11009.34621
237	10989.58714
238	10981.82771
239	10960.33235
240	10928.85572
241	10903.35322
242	10899.01348
243	10898.23203
244	10837.81577
245	10793.49063
246	10779.61236
247	10723.95925
248	10697.34039
249	10647.37021
250	10602.53967
251	10594.32476
252	10571.7061
253	10568.47253
254	10553.09229
255	10546.07267
256	10529.21183
257	10516.63057
258	10489.72469
259	10456.70494
260	10455.89452
261	10435.4029
262	10421.27977
263	10419.03426
264	10387.95137
265	10376.21791
266	10367.63016
267	10335.49953
268	10306.27829
269	10285.47273
270	10259.44032
271	10253.38389
272	10205.67213
273	10182.89146
274	10177.89724
275	10146.63511
276	10099.18519
277	10096.17778
278	10065.61652
279	10063.37964
280	10047.47362
281	10035.96737
282	10010.9482
283	9948.445824
284	9924.262481
285	9883.885674
286	9840.199787
287	9799.039803
288	9770.489678
289	9768.962422
290	9740.322138
291	9736.717415
292	9711.061281
293	9710.115206
294	9709.285595
295	9676.218801
296	9668.728329
297	9652.029645
298	9629.595235
299	9607.611644
300	9605.476339
301	9595.34731
302	9573.213323
303	9557.12193
304	9538.488552
305	9500.469826
306	9474.590121
307	9473.198355
308	9449.751962
309	9430.466755
310	9403.911836
311	9379.615974
312	9371.18814
313	9351.396819
314	9344.421276
